CABELO	BARBA	GÓLA	CORPO	ROUPA	CLASSE
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	SEM	GORDO	SEM	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	VERMELHA	GORDO	BRANCA	1
ESCURO	SIM	SEM	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	SEM	MAGRO	OUTRA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	OUTRA	1
ESCURO	SIM	SEM	GORDO	SEM	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	MAGRO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	MAGRO	OUTRA	1
AZUL	SIM	SEM	GORDO	SEM	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	VERMELHA	GORDO	SEM	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	MAGRO	BRANCA	1
AZUL	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	SEM	MAGRO	OUTRA	1
AZUL	SIM	VERMELHA	GORDO	BRANCA	1
ESCURO	SIM	SEM	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	SEM	GORDO	VERDE	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	NÃO	SEM	GORDO	SEM	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
ESCURO	SIM	BRANCA	GORDO	BRANCA	1
